batch,seq_len,d_model,kernel_ms,naive_ms,ref2_ms,ref2_label,ref3_ms,ref3_label,kernel_tops,naive_tops,ref2_tops,ref3_tops,kernel_util_pct,naive_util_pct,kernel_bw_util_pct,naive_bw_util_pct,speedup_vs_naive,speedup_vs_ref2,speedup_vs_ref3,kernel_max_err,kernel_mean_err
8,512,512,0.07653376221656799,0.25372672140598296,0.06848512068390847,FlashAttn-2,0.18001919686794282,FP16 WMMA kernel,56.11859618042177,16.92753239469685,62.71387497181066,23.85838494297178,13.490047158755234,4.06911836410982,7.107305119285594,16.530793354196145,3.3152260395616135,0.8948354125087404,2.3521540252854884,0.0009765625,3.5654258681461215e-05
8,1024,512,0.22720511823892595,0.8095334458351136,0.15910911738872527,FlashAttn-2,0.5745049631595611,FP16 WMMA kernel,75.61391801893245,21.221938725801834,107.97539114007675,29.903778532246587,18.176422600704917,5.1014275783177485,4.7881738247462415,18.652094583224272,3.563007084126594,0.7002884381390044,2.5285740374713708,0.000732421875,2.5817040295805782e-05
8,2048,512,0.7804108679294586,2.8920422744750978,0.4190617573261261,FlashAttn-2,1.6095846557617188,FP16 WMMA kernel,88.05550968084617,23.76157407604718,163.98412772015485,42.69391888771407,21.167189827126485,5.711916845203649,2.7880124296227384,19.723962856093852,3.7057944645851726,0.5369758092143908,2.0624836504803894,0.000732421875,1.8596439986140467e-05
8,4096,512,2.2791167497634888,12.753244113922118,1.527480354309082,FlashAttn-2,6.056591329574585,FP16 WMMA kernel,120.6072075827291,21.553567428692805,179.95511769991583,45.38491900580445,28.9921172073868,5.1811460165126935,1.9093319376690894,17.364934695968323,5.595695839296325,0.6702071556744925,2.657429168647502,0.000396728515625,1.330318355030613e-05
8,512,1024,0.10760191917419433,0.24717311739921569,0.08978432044386864,FlashAttn-2,0.38961152017116546,FP16 WMMA kernel,79.83068199828247,34.75270564365693,95.67299222774933,22.047434809489825,19.19006778804867,8.354015779725223,9.927674229217562,20.362913463080233,2.297106959580086,0.8344118871943057,3.620860326296152,0.001953125,4.321590677136555e-05
8,1024,1024,0.3404595196247101,0.8132607984542847,0.215982081592083,FlashAttn-2,1.2737945652008056,FP16 WMMA kernel,100.92165554916743,42.249347851642995,159.08605989312534,26.974316979114608,24.260013353165245,10.156093233568027,6.275264684491841,20.629564380685057,2.388715108776354,0.6343840284746948,3.741397998225793,0.0009765625,3.1550640414934605e-05
8,2048,1024,1.177722887992859,3.0769357109069824,0.732405766248703,FlashAttn-2,4.6852710247039795,FP16 WMMA kernel,116.6988897585502,44.66747647174188,187.654111703607,29.334258946243892,28.05261773042072,10.73737415186103,3.6281431256568295,19.629262121370942,2.61261434440734,0.621882935039931,3.978245708282769,0.0009765625,2.2783980966778472e-05
8,4096,1024,4.22868989944458,13.494927310943604,2.748846158981323,FlashAttn-2,18.038190002441407,FP16 WMMA kernel,130.0061784999198,40.737960362497084,199.99511871254754,30.477326927679133,31.251485216326873,9.792778933292569,2.0209319205748493,16.907844877012952,3.1912785358690177,0.6500467578250114,4.265668666035465,0.00048828125,1.6309113561874256e-05
8,512,2048,0.22769663900136947,0.27553791642189024,0.15089664250612259,FlashAttn-2,1.2029951858520507,FP16 WMMA kernel,75.4506929015174,62.35029068629168,113.85189821770179,14.280912663696105,18.13718579363399,14.988050645743192,9.296636126400042,24.35558229933269,1.2101097215591006,0.6627091342583016,5.283324299946366,0.0009765625,3.5765602660831064e-05
8,1024,2048,0.6443417608737946,0.9289523148536682,0.40562688052654267,FlashAttn-2,4.275425271987915,FP16 WMMA kernel,106.65066414880393,73.97524677768301,169.41549003556057,16.073132463860837,25.637178881924022,17.78251124463534,6.570465950024351,21.67243557939932,1.441707446672263,0.6295213272789744,6.635337846471402,0.000732421875,2.587843846413307e-05
8,2048,2048,2.2533939123153686,3.4939903450012206,1.463910369873047,FlashAttn-2,16.255160369873046,FP16 WMMA kernel,121.98395737279782,78.6716275095786,187.76962893420716,16.910193482523407,29.32306667615332,18.91144892057178,3.7575548392690368,19.206940309955712,1.5505457460880134,0.649646900114714,7.213634633977875,0.000732421875,1.856644121289719e-05
8,4096,2048,8.08933380126953,15.31742218017578,5.496115322113037,FlashAttn-2,63.68731147766113,FP16 WMMA kernel,135.92115924347738,71.78176685624149,200.0525031474925,17.264217977888155,32.67335558737437,17.255232417365743,2.0934359758206935,15.772360881498374,1.8935332076136953,0.6794274358230196,7.872998326223863,0.0003662109375,1.3255943486001343e-05
