seq_len,ours_ms,sage_ms,fa2_ms,ours_cos,sage_cos,fa2_cos,speedup_vs_sage,speedup_vs_fa2
512,0.0766771225631237,0.2734284782409668,0.06819840043783187,0.9999459981918335,0.9999215602874756,0.9999997615814209,3.565972080079941,0.8894230529019682
1024,0.22646783858537675,0.36915200114250185,0.16332799822092056,0.9999448657035828,0.9999195337295532,0.9999998807907104,1.6300416140693381,0.721197319854082
2048,0.7762739253044129,0.7549747216701508,0.5336268806457519,0.9999445676803589,0.9999191164970398,0.9999998807907104,0.9725622580638533,0.6874208488150522
4096,2.2806322813034057,1.7300889444351197,1.5262105917930604,0.9999443292617798,0.9999186992645264,0.9999998807907104,0.7586005681925871,0.6692050289320709
