forward,category,self_us_total,pct
int8_mlp,GEMM1/GEMM2 (INT8 WMMA),24685.864000000005,78.9532316104178
int8_mlp,transpose W (B k-contig),3264.9730000000163,10.442420385641023
int8_mlp,quantize_rows (per-token),2299.9400000000187,7.355938423304356
int8_mlp,other / elementwise,583.8619999999792,1.8673760705527709
int8_mlp,quantize_tensor,431.7999999999847,1.381033510084038
int8_mlp_prepacked,GEMM1/GEMM2 (INT8 WMMA),24600.76599999999,88.31188719606179
int8_mlp_prepacked,quantize_rows (per-token),2226.6819999999852,7.993348239867817
int8_mlp_prepacked,other / elementwise,597.3039999999974,2.1442032930908037
int8_mlp_prepacked,quantize_tensor,431.9350000000045,1.5505612709795853
int8_attn,attention (INT8 WMMA),3208.2860000000037,100.0
