batch,seq_len,d_model,kernel_ms,naive_ms,ref2_ms,ref2_label,ref3_ms,ref3_label,kernel_tops,naive_tops,ref2_tops,ref3_tops,kernel_util_pct,naive_util_pct,kernel_bw_util_pct,naive_bw_util_pct,speedup_vs_naive,speedup_vs_ref2,speedup_vs_ref3,kernel_max_err,kernel_mean_err
8,512,512,0.2681638389825821,0.1752268823981285,0.9118105649948121,cuBLAS INT8 pipeline,0.4406681591272354,cuBLAS INT8 2xGEMM,64.06482413579958,98.04357042069641,18.841489497434974,38.9859553683787,10.266798739711472,15.712110644342372,4.301227206383029,13.165030207857184,0.6534321818442863,3.4001995513423284,1.643279574155626,0.021728515625,0.003311274806037545
8,1024,512,0.4225337624549866,0.29175808012485505,1.5498649549484254,cuBLAS INT8 pipeline,0.5685452783107757,cuBLAS INT8 2xGEMM,81.31832629980762,117.76790673045313,22.169504677356475,60.43448020549461,13.031783060866605,18.873061976034155,5.2114405892821045,15.094763435910133,0.6904964905755588,3.668026303847224,1.345561772407108,0.02349853515625,0.003242743667215109
8,2048,512,0.5708063995838165,0.4335616040229797,2.7195596647262574,cuBLAS INT8 pipeline,0.9837158298492432,cuBLAS INT8 2xGEMM,120.39016518753888,158.49991350331317,25.26860418887596,69.85704067253998,19.29329570313123,25.400627163992496,7.531733356764364,19.831837321886717,0.7595598163214288,4.764416913876805,1.7233791186757632,0.02197265625,0.0033669136464595795
8,4096,512,1.048483202457428,0.7877632021903992,5.336739826202392,cuBLAS INT8 pipeline,1.9309363460540772,cuBLAS INT8 2xGEMM,131.0836007194693,174.4673438538978,25.75335465993686,71.17736105224823,21.006987294786747,27.959510232996443,8.100716902371989,21.563499225106387,0.7513360255500947,5.089962160284664,1.8416473831229354,0.0235595703125,0.00341910682618618
8,512,1024,0.508807681798935,0.3602022385597229,1.9205119681358338,cuBLAS INT8 pipeline,1.093038058280945,cuBLAS INT8 2xGEMM,135.0598255376887,190.78026003052187,35.781852899726175,62.870159200199545,21.644202810527034,30.573759620275943,4.946038532874343,13.97316357645424,0.7079339629586482,3.7745341448967364,2.148234190208,0.0458984375,0.007120990194380283
8,1024,1024,0.8391980803012848,0.6811647987365723,3.6471398162841795,cuBLAS INT8 pipeline,1.9078553438186645,cuBLAS INT8 2xGEMM,163.77415141685896,201.77048744580225,37.684037463643804,72.03845612157855,26.245857598855604,32.33501401375036,5.497789506791531,13.546602550682524,0.8116853633554831,4.345982077288357,2.2734267255874983,0.0518798828125,0.007341664284467697
8,2048,1024,1.561118721961975,1.3185023880004882,7.1868825531005855,cuBLAS INT8 pipeline,3.7806488990783693,cuBLAS INT8 2xGEMM,176.07751612801127,208.47736753882785,38.24716835332329,72.70654172912184,28.21755066154027,33.40983454147882,5.642132322217157,13.360671137437086,0.8445881594088035,4.603674564909638,2.4217561713224116,0.04736328125,0.007464163936674595
8,4096,1024,2.956875514984131,2.5396428871154786,14.05366273880005,cuBLAS INT8 pipeline,7.333539762496948,cuBLAS INT8 2xGEMM,185.92457176573103,216.46973150323961,39.11832979812493,74.96459168318701,29.795604449636382,34.690662099878146,5.815816835323313,13.542570482838173,0.8588940840578838,4.752876023215158,2.480165203213266,0.0499267578125,0.007420036010444164
8,512,2048,1.3641651248931885,1.2336947131156921,5.502443552017212,cuBLAS INT8 pipeline,3.7570559978485107,cuBLAS INT8 2xGEMM,201.49899885875064,222.80869328668572,49.95560687637203,73.16311151641328,32.29150622736389,35.70652136004579,4.304483007846845,9.519414386027831,0.9043587837009747,4.033561224817298,2.754106470902986,0.106201171875,0.015924397855997086
8,1024,2048,2.5941043138504027,2.4234802865982057,10.875412406921386,cuBLAS INT8 pipeline,7.477350416183472,cuBLAS INT8 2xGEMM,211.9250991383623,226.84558934856534,50.55034175422364,73.52280999137685,33.96235563114781,36.35345983150086,3.880464461762006,8.307333594307813,0.9342262273952502,4.192357396291101,2.8824401456258006,0.109375,0.01616903394460678
8,2048,2048,4.95951997756958,4.8242278480529786,21.24894214630127,cuBLAS INT8 pipeline,14.539816932678223,cuBLAS INT8 2xGEMM,221.6971869755059,227.91453107252272,51.74429956116136,75.62073393818658,35.52839534863877,36.52476459495556,3.7211136729897536,7.650939458611296,0.9727207209309596,4.284475562635872,2.9316984301782125,0.107421875,0.015704885125160217
8,4096,2048,9.78746883392334,9.71403263092041,42.38620712280274,cuBLAS INT8 pipeline,29.04221668243408,cuBLAS INT8 2xGEMM,224.67742098244966,226.37593871698175,51.88063298942782,75.7181615851678,36.00599695231565,36.27819530720862,3.5997206425715964,7.253867665186488,0.9924969157757725,4.330660750192354,2.967285738042285,0.10699462890625,0.015864193439483643
