batch,seq_len,d_model,kernel_ms,naive_ms,ref2_ms,ref2_label,ref3_ms,ref3_label,kernel_tops,naive_tops,ref2_tops,ref3_tops,kernel_util_pct,naive_util_pct,kernel_bw_util_pct,naive_bw_util_pct,speedup_vs_naive,speedup_vs_ref2,speedup_vs_ref3,kernel_max_err,kernel_mean_err
8,512,512,0.30824448049068454,0.1752883219718933,0.1423155191540718,cuBLAS GEMMs,,,55.73455575474348,98.00920558047622,120.71676571970305,,17.863639664981886,31.413206916819302,2.0410603914090633,13.160415788394022,0.5686665392770617,0.46169689373682954,,0.0009765625,7.464188092853874e-05
8,1024,512,0.5700198340415955,0.2937036782503128,0.22886399954557418,cuBLAS GEMMs,,,60.278145278524995,116.98777002961624,150.13168709899202,,19.3199183585016,37.49608013769751,1.8395430077674861,14.994770328503057,0.5152516819772286,0.40150181779266564,,0.0009765625,7.467412069672719e-05
8,2048,512,1.0181836998462677,0.4393779176473618,0.3338239985704422,cuBLAS GEMMs,,,67.49221849296521,156.4017534243795,205.85541192449375,,21.632121311847825,50.12876712319856,1.8537291456197715,19.569311188963496,0.4315310859068968,0.32786224982863627,,0.0009765625,7.466883107554168e-05
8,4096,512,1.6932454442977904,0.8062976014614105,0.6215679979324341,cuBLAS GEMMs,,,81.16894921220214,170.4568551647587,221.11652132859635,,26.015688850064787,54.63360742460215,2.105517786571405,21.067818097450953,0.47618471626586417,0.3670867682093224,,0.0009765625,6.979555473662913e-05
8,512,1024,0.88690687417984,0.36669440507888795,0.31215615808963776,cuBLAS GEMMs,,,77.48217849765544,187.4025776892238,220.14454930684641,,24.834031569761358,60.06492874654609,1.891654748477916,13.725774733097445,0.4134531096266287,0.351960467527441,,0.001953125,0.00016159693768713623
8,1024,1024,1.6185548830032348,0.6983679926395416,0.6211583983898162,cuBLAS GEMMs,,,84.91460803416284,196.80018975746256,221.26232830188403,,27.21622052377014,63.07698389662262,1.5548329107817904,13.212903365064014,0.43147625080449364,0.38377345427870474,,0.001953125,0.00016174744814634323
8,2048,1024,3.1444582509994508,1.349632008075714,1.1825971436500549,cuBLAS GEMMs,,,87.4166183814434,203.66878178587137,232.43579474206797,,28.018146917129293,65.2784557005998,1.3338717404395053,13.052503715525205,0.42920970811005044,0.3760893130872932,,0.001953125,0.00016192026669159532
8,4096,1024,6.164172763824463,2.710855655670166,2.3721164655685425,cuBLAS GEMMs,,,89.18565960940276,202.7978925171107,231.7575135402283,,28.585147310706017,64.99932452471498,1.2247786506418228,12.687246083376372,0.4397760672087748,0.38482316386226667,,0.001953125,0.00015148730017244816
8,512,2048,3.501158428192139,1.2690637040138244,1.1995750093460082,cuBLAS GEMMs,,,78.51055945672707,216.59898244241776,229.14607657078454,,25.163640851515083,69.4227507828262,1.4375712791148756,9.254106915874782,0.36246965969749595,0.34262231599882836,,0.00390625,0.0003215526812709868
8,1024,2048,6.775930862426758,2.4830565881729125,2.3665049362182615,cuBLAS GEMMs,,,81.13362208821421,221.40285344544736,232.3070640902717,,26.00436605391481,70.96245302738697,0.9904006602565211,8.108014652543238,0.3664524680943425,0.3492516355709557,,0.00390625,0.00032142456620931625
8,2048,2048,13.39830270767212,5.161922550201416,4.6338457679748535,cuBLAS GEMMs,,,82.06350100945241,213.00428611295175,237.27842548728665,,26.302404169696285,68.27060452338198,0.7513137909800942,7.150412436653045,0.38526690005634834,0.34585319268249004,,0.00390625,0.0003214507596567273
8,4096,2048,26.783498191833495,9.86535940170288,9.097891864776612,cuBLAS GEMMs,,,82.1036609856475,222.90351177397775,241.7069018005958,,26.3152759569383,71.44343326089032,0.626401222119503,7.142599101644184,0.3683372250720747,0.33968273298783025,,0.00390625,0.00032146330340765417
