regime,B,H,Dh,d_model,d_ff,seq,int8_ms,fp16_ms,cos,speedup
prefill,8,16,64,1024,4096,512,1.810370559692383,0.933519366979599,0.9999358057975769,0.515650987573628
prefill,8,16,64,1024,4096,1024,2.7698995685577392,1.4893056082725524,0.999935507774353,0.5376749486437228
prefill,8,16,64,1024,4096,2048,6.001213397979736,3.3150770711898803,0.9999358057975769,0.55240113146216
decode,128,16,64,1024,4096,2048,1.2026060891151429,0.9953484785556793,0.9985697269439697,0.8276596032272211
decode,128,16,64,1024,4096,4096,1.9387801575660706,1.7805721426010133,0.9992322325706482,0.9183981668330717
decode,128,16,64,1024,4096,8192,3.3623040246963503,3.530526728630066,0.9995925426483154,1.0500319729263352
decode,128,16,64,1024,4096,16384,6.2257766437530515,6.948208656311035,0.9997605085372925,1.116038858105016
decode,128,16,64,1024,4096,32768,11.478589477539062,13.71336711883545,0.9998505115509033,1.194690963177081
